size,throughput
10368,77.03177180673427
8192,62.150946189336565
6272,51.560926485397786
4608,22.699148339046477
3200,28.534230535842994
2048,18.66405257017619
1152,10.555034234948536
512,4.902991200621421
128,1.230359187759005
51200,177.8333506998715
46208,190.46990931574607
41472,181.85326153684247
36992,172.23606099406356
32768,157.26286130076014
28800,138.14464072800033
25088,128.6020017172222
21632,121.39894207692033
18432,98.15361676171295
15488,96.52897633567292
12800,84.16987131465483
10368,72.26125381713669
8192,56.869624111073485
6272,46.676651441435574
4608,35.94049416462136
3200,25.048391211055705
2048,16.587033430059225
1152,9.579092812388764
512,4.347615227569616
128,1.1286759469493053
51200,178.19542330113984
46208,171.13209770550307
41472,163.48155156102175
36992,155.62473706352546
32768,145.49579615279947
28800,136.6223908918406
25088,125.79537192569006
21632,115.41126523940336
18432,101.75861238255843
15488,91.1950141314588
12800,80.13503768217012
10368,69.35356182332252
8192,55.60702637373554
6272,46.83283786873999
4608,34.9977528559633
3200,24.616957583920332
2048,17.089470100696737
1152,9.597883090611008
512,4.470942280509119
128,1.120014783249011
51200,168.76246353643063
46208,160.1588076820065
41472,155.21887538175937
36992,143.43941282370864
32768,134.49778884092896
28800,125.86626709121559
25088,119.99665187913284
21632,109.58341866155057
18432,99.80113804170195
15488,88.79715628941636
12800,77.62458930819543
10368,65.05737906408083
8192,54.96996775830183
6272,44.247498864623424
4608,33.75370451261719
3200,24.021316040032332
2048,14.646071408723833
1152,9.104880641960442
512,4.352050224530482
128,1.1082182309957447
51200,173.9041828711173
46208,167.1010585837333
41472,162.553698535637
36992,155.22824686029435
32768,139.8048417952353
28800,132.95346628679962
25088,121.50182218832103
21632,112.35291517482209
18432,102.57717876331846
15488,91.6499763300681
12800,79.91654285082035
10368,67.75101050929668
8192,55.418630616162226
6272,44.943860481989226
4608,34.54629241149728
3200,25.208138282343228
2048,16.6248115857343
1152,9.545225709011579
512,4.284311496126789
128,1.1095744488458446
51200,178.07766551310368
46208,171.75083208028516
41472,163.93649990512932
36992,155.08414685272803
32768,145.48537710177308
28800,136.7002088475413
25088,126.25751742532898
21632,106.72377053482391
18432,100.32261256803564
15488,91.63662843619153
12800,80.04432834639437
10368,66.65049605344255
8192,55.46164092515329
6272,45.52040098886394
4608,34.9961678348964
3200,25.07504237171447
2048,15.133988276309166
1152,7.883799389512083
512,3.948421969917025
128,1.0999374395623058
51200,174.2029873090402
46208,167.1642576422804
41472,156.99576014536643
36992,146.41185118172567
32768,138.6882201955109
28800,129.32859470625218
25088,118.20998197731261
21632,109.10831374821588
18432,99.10646201974777
15488,86.82962170740542
12800,75.08167508167509
10368,63.72424280826257
8192,53.64110645003301
6272,42.59567387687188
4608,33.572648430058656
3200,24.474875133174994
2048,16.200985189798672
1152,9.439471058919374
512,4.345496433076311
128,1.105240449565359
51200,173.71831846096427
46208,167.26602606291956
41472,159.50278452970676
36992,150.98995612180934
32768,142.5235362619786
28800,133.01487180163895
25088,123.26438362894905
21632,107.10377447933676
18432,101.41555206530546
15488,91.3472706155633
12800,79.98038455758477
10368,67.85752359875039
8192,53.614277048813975
6272,44.35016263611936
4608,33.88189581899867
3200,24.51285113631358
2048,16.66520228443628
1152,9.59822357388784
512,4.339705795597691
128,1.0957750167231959
51200,174.51174204983127
46208,166.95834975693074
41472,159.6526077516515
36992,151.12213484293616
32768,142.6897036100576
28800,132.6979279113241
25088,122.75624166656472
21632,109.3312399858054
18432,101.93152682117541
15488,90.61793960124218
12800,79.93423132865365
10368,66.73098487814264
8192,55.25846467704255
6272,44.94506823362908
4608,34.463092313814826
3200,24.5487187657014
2048,15.580468407247336
1152,9.050790269763976
512,4.265058720611983
128,1.0930162914581871
51200,168.42105263157893
46208,158.93436728057281
41472,159.66244205922663
36992,151.09127244613657
32768,142.75387166587032
28800,133.06052405781796
25088,122.33871360998684
21632,108.0243949085191
18432,99.58349705304519
15488,88.9753062414933
12800,79.7923127303143
10368,66.46066004943101
8192,56.662711511750196
6272,45.60459536101214
